coluna A 1;coluna B 1;coluna C 1
coluna A 35019;coluna B 35019;coluna C 35019
coluna A 10022;coluna B 10022;coluna C 10022
coluna A 5031;coluna B 5031;coluna C 5031
coluna A 10023;coluna B 10023;coluna C 10023
coluna A 30054;coluna B 30054;coluna C 30054
coluna A 10024;coluna B 10024;coluna C 10024
coluna A 25024;coluna B 25024;coluna C 25024
coluna A 19;coluna B 19;coluna C 19
coluna A 25025;coluna B 25025;coluna C 25025
coluna A 15018;coluna B 15018;coluna C 15018
coluna A 25026;coluna B 25026;coluna C 25026
coluna A 20016;coluna B 20016;coluna C 20016
coluna A 40025;coluna B 40025;coluna C 40025
coluna A 20017;coluna B 20017;coluna C 20017
coluna A 45026;coluna B 45026;coluna C 45026
coluna A 20018;coluna B 20018;coluna C 20018
coluna A 35020;coluna B 35020;coluna C 35020
coluna A 20019;coluna B 20019;coluna C 20019
coluna A 5032;coluna B 5032;coluna C 5032
coluna A 20020;coluna B 20020;coluna C 20020
coluna A 30055;coluna B 30055;coluna C 30055
coluna A 20021;coluna B 20021;coluna C 20021
coluna A 10025;coluna B 10025;coluna C 10025
coluna A 20022;coluna B 20022;coluna C 20022
coluna A 20;coluna B 20;coluna C 20
coluna A 20023;coluna B 20023;coluna C 20023
coluna A 15019;coluna B 15019;coluna C 15019
coluna A 25027;coluna B 25027;coluna C 25027
coluna A 15020;coluna B 15020;coluna C 15020
coluna A 40026;coluna B 40026;coluna C 40026
coluna A 45027;coluna B 45027;coluna C 45027
coluna A 40027;coluna B 40027;coluna C 40027
coluna A 35021;coluna B 35021;coluna C 35021
coluna A 5033;coluna B 5033;coluna C 5033
coluna A 35022;coluna B 35022;coluna C 35022
coluna A 30056;coluna B 30056;coluna C 30056
coluna A 10026;coluna B 10026;coluna C 10026
coluna A 30057;coluna B 30057;coluna C 30057
coluna A 21;coluna B 21;coluna C 21
coluna A 30058;coluna B 30058;coluna C 30058
coluna A 20024;coluna B 20024;coluna C 20024
coluna A 30059;coluna B 30059;coluna C 30059
coluna A 25028;coluna B 25028;coluna C 25028
coluna A 30060;coluna B 30060;coluna C 30060
coluna A 15021;coluna B 15021;coluna C 15021
coluna A 30061;coluna B 30061;coluna C 30061
coluna A 45028;coluna B 45028;coluna C 45028
coluna A 30062;coluna B 30062;coluna C 30062
coluna A 40028;coluna B 40028;coluna C 40028
coluna A 30063;coluna B 30063;coluna C 30063
coluna A 40029;coluna B 40029;coluna C 40029
coluna A 5034;coluna B 5034;coluna C 5034
coluna A 40030;coluna B 40030;coluna C 40030
coluna A 35023;coluna B 35023;coluna C 35023
coluna A 40031;coluna B 40031;coluna C 40031
coluna A 10027;coluna B 10027;coluna C 10027
coluna A 40032;coluna B 40032;coluna C 40032
coluna A 22;coluna B 22;coluna C 22
coluna A 40033;coluna B 40033;coluna C 40033
coluna A 20025;coluna B 20025;coluna C 20025
coluna A 40034;coluna B 40034;coluna C 40034
coluna A 25029;coluna B 25029;coluna C 25029
coluna A 40035;coluna B 40035;coluna C 40035
coluna A 15022;coluna B 15022;coluna C 15022
coluna A 40036;coluna B 40036;coluna C 40036
coluna A 45029;coluna B 45029;coluna C 45029
coluna A 40037;coluna B 40037;coluna C 40037
coluna A 30064;coluna B 30064;coluna C 30064
coluna A 40038;coluna B 40038;coluna C 40038
coluna A 5035;coluna B 5035;coluna C 5035
coluna A 40039;coluna B 40039;coluna C 40039
coluna A 35024;coluna B 35024;coluna C 35024
coluna A 40040;coluna B 40040;coluna C 40040
coluna A 10028;coluna B 10028;coluna C 10028
coluna A 40041;coluna B 40041;coluna C 40041
coluna A 23;coluna B 23;coluna C 23
coluna A 40042;coluna B 40042;coluna C 40042
coluna A 20026;coluna B 20026;coluna C 20026
coluna A 40043;coluna B 40043;coluna C 40043
coluna A 25030;coluna B 25030;coluna C 25030
coluna A 40044;coluna B 40044;coluna C 40044
coluna A 25031;coluna B 25031;coluna C 25031
coluna A 40045;coluna B 40045;coluna C 40045
coluna A 25032;coluna B 25032;coluna C 25032
coluna A 40046;coluna B 40046;coluna C 40046
coluna A 15023;coluna B 15023;coluna C 15023
coluna A 40047;coluna B 40047;coluna C 40047
coluna A 45030;coluna B 45030;coluna C 45030
coluna A 40048;coluna B 40048;coluna C 40048
coluna A 30065;coluna B 30065;coluna C 30065
coluna A 40049;coluna B 40049;coluna C 40049
coluna A 5036;coluna B 5036;coluna C 5036
coluna A 40050;coluna B 40050;coluna C 40050
coluna A 35025;coluna B 35025;coluna C 35025
coluna A 40051;coluna B 40051;coluna C 40051
coluna A 10029;coluna B 10029;coluna C 10029
coluna A 40052;coluna B 40052;coluna C 40052
coluna A 10030;coluna B 10030;coluna C 10030
coluna A 24;coluna B 24;coluna C 24
coluna A 10031;coluna B 10031;coluna C 10031
coluna A 20027;coluna B 20027;coluna C 20027
coluna A 10032;coluna B 10032;coluna C 10032
coluna A 25033;coluna B 25033;coluna C 25033
coluna A 10033;coluna B 10033;coluna C 10033
coluna A 15024;coluna B 15024;coluna C 15024
coluna A 10034;coluna B 10034;coluna C 10034
coluna A 45031;coluna B 45031;coluna C 45031
coluna A 10035;coluna B 10035;coluna C 10035
coluna A 30066;coluna B 30066;coluna C 30066
coluna A 10036;coluna B 10036;coluna C 10036
coluna A 5037;coluna B 5037;coluna C 5037
coluna A 10037;coluna B 10037;coluna C 10037
coluna A 35026;coluna B 35026;coluna C 35026
coluna A 10038;coluna B 10038;coluna C 10038
coluna A 40053;coluna B 40053;coluna C 40053
coluna A 10039;coluna B 10039;coluna C 10039
coluna A 25;coluna B 25;coluna C 25
coluna A 10040;coluna B 10040;coluna C 10040
coluna A 20028;coluna B 20028;coluna C 20028
coluna A 10041;coluna B 10041;coluna C 10041
coluna A 25034;coluna B 25034;coluna C 25034
coluna A 10042;coluna B 10042;coluna C 10042
coluna A 15025;coluna B 15025;coluna C 15025
coluna A 45032;coluna B 45032;coluna C 45032
coluna A 15026;coluna B 15026;coluna C 15026
coluna A 30067;coluna B 30067;coluna C 30067
coluna A 15027;coluna B 15027;coluna C 15027
coluna A 30068;coluna B 30068;coluna C 30068
coluna A 15028;coluna B 15028;coluna C 15028
coluna A 30069;coluna B 30069;coluna C 30069
coluna A 15029;coluna B 15029;coluna C 15029
coluna A 5038;coluna B 5038;coluna C 5038
coluna A 15030;coluna B 15030;coluna C 15030
coluna A 35027;coluna B 35027;coluna C 35027
coluna A 15031;coluna B 15031;coluna C 15031
coluna A 40054;coluna B 40054;coluna C 40054
coluna A 15032;coluna B 15032;coluna C 15032
coluna A 26;coluna B 26;coluna C 26
coluna A 15033;coluna B 15033;coluna C 15033
coluna A 20029;coluna B 20029;coluna C 20029
coluna A 15034;coluna B 15034;coluna C 15034
coluna A 25035;coluna B 25035;coluna C 25035
coluna A 15035;coluna B 15035;coluna C 15035
coluna A 10043;coluna B 10043;coluna C 10043
coluna A 15036;coluna B 15036;coluna C 15036
coluna A 45033;coluna B 45033;coluna C 45033
coluna A 15037;coluna B 15037;coluna C 15037
coluna A 30070;coluna B 30070;coluna C 30070
coluna A 15038;coluna B 15038;coluna C 15038
coluna A 5039;coluna B 5039;coluna C 5039
coluna A 15039;coluna B 15039;coluna C 15039
coluna A 35028;coluna B 35028;coluna C 35028
coluna A 15040;coluna B 15040;coluna C 15040
coluna A 40055;coluna B 40055;coluna C 40055
coluna A 15041;coluna B 15041;coluna C 15041
coluna A 27;coluna B 27;coluna C 27
coluna A 15042;coluna B 15042;coluna C 15042
coluna A 20030;coluna B 20030;coluna C 20030
coluna A 15043;coluna B 15043;coluna C 15043
coluna A 25036;coluna B 25036;coluna C 25036
coluna A 15044;coluna B 15044;coluna C 15044
coluna A 10044;coluna B 10044;coluna C 10044
coluna A 15045;coluna B 15045;coluna C 15045
coluna A 45034;coluna B 45034;coluna C 45034
coluna A 15046;coluna B 15046;coluna C 15046
coluna A 30071;coluna B 30071;coluna C 30071
coluna A 15047;coluna B 15047;coluna C 15047
coluna A 5040;coluna B 5040;coluna C 5040
coluna A 15048;coluna B 15048;coluna C 15048
coluna A 35029;coluna B 35029;coluna C 35029
coluna A 15049;coluna B 15049;coluna C 15049
coluna A 40056;coluna B 40056;coluna C 40056
coluna A 15050;coluna B 15050;coluna C 15050
coluna A 28;coluna B 28;coluna C 28
coluna A 15051;coluna B 15051;coluna C 15051
coluna A 20031;coluna B 20031;coluna C 20031
coluna A 15052;coluna B 15052;coluna C 15052
coluna A 25037;coluna B 25037;coluna C 25037
coluna A 15053;coluna B 15053;coluna C 15053
coluna A 10045;coluna B 10045;coluna C 10045
coluna A 15054;coluna B 15054;coluna C 15054
coluna A 45035;coluna B 45035;coluna C 45035
coluna A 15055;coluna B 15055;coluna C 15055
coluna A 30072;coluna B 30072;coluna C 30072
coluna A 15056;coluna B 15056;coluna C 15056
coluna A 5041;coluna B 5041;coluna C 5041
coluna A 15057;coluna B 15057;coluna C 15057
coluna A 35030;coluna B 35030;coluna C 35030
coluna A 15058;coluna B 15058;coluna C 15058
coluna A 40057;coluna B 40057;coluna C 40057
coluna A 15059;coluna B 15059;coluna C 15059
coluna A 29;coluna B 29;coluna C 29
coluna A 15060;coluna B 15060;coluna C 15060
coluna A 20032;coluna B 20032;coluna C 20032
coluna A 15061;coluna B 15061;coluna C 15061
coluna A 20033;coluna B 20033;coluna C 20033
coluna A 15062;coluna B 15062;coluna C 15062
coluna A 20034;coluna B 20034;coluna C 20034
coluna A 15063;coluna B 15063;coluna C 15063
coluna A 20035;coluna B 20035;coluna C 20035
coluna A 25038;coluna B 25038;coluna C 25038
coluna A 20036;coluna B 20036;coluna C 20036
coluna A 10046;coluna B 10046;coluna C 10046
coluna A 20037;coluna B 20037;coluna C 20037
coluna A 45036;coluna B 45036;coluna C 45036
coluna A 20038;coluna B 20038;coluna C 20038
coluna A 30073;coluna B 30073;coluna C 30073
coluna A 20039;coluna B 20039;coluna C 20039
coluna A 5042;coluna B 5042;coluna C 5042
coluna A 20040;coluna B 20040;coluna C 20040
coluna A 35031;coluna B 35031;coluna C 35031
coluna A 20041;coluna B 20041;coluna C 20041
coluna A 40058;coluna B 40058;coluna C 40058
coluna A 20042;coluna B 20042;coluna C 20042
coluna A 30;coluna B 30;coluna C 30
coluna A 20043;coluna B 20043;coluna C 20043
coluna A 15064;coluna B 15064;coluna C 15064
coluna A 20044;coluna B 20044;coluna C 20044
coluna A 25039;coluna B 25039;coluna C 25039
coluna A 20045;coluna B 20045;coluna C 20045
coluna A 10047;coluna B 10047;coluna C 10047
coluna A 45037;coluna B 45037;coluna C 45037
coluna A 10048;coluna B 10048;coluna C 10048
coluna A 30074;coluna B 30074;coluna C 30074
coluna A 10049;coluna B 10049;coluna C 10049
coluna A 5043;coluna B 5043;coluna C 5043
coluna A 10050;coluna B 10050;coluna C 10050
coluna A 35032;coluna B 35032;coluna C 35032
coluna A 10051;coluna B 10051;coluna C 10051
coluna A 40059;coluna B 40059;coluna C 40059
coluna A 10052;coluna B 10052;coluna C 10052
coluna A 31;coluna B 31;coluna C 31
coluna A 10053;coluna B 10053;coluna C 10053
coluna A 15065;coluna B 15065;coluna C 15065
coluna A 10054;coluna B 10054;coluna C 10054
coluna A 25040;coluna B 25040;coluna C 25040
coluna A 10055;coluna B 10055;coluna C 10055
coluna A 20046;coluna B 20046;coluna C 20046
coluna A 45038;coluna B 45038;coluna C 45038
coluna A 20047;coluna B 20047;coluna C 20047
coluna A 30075;coluna B 30075;coluna C 30075
coluna A 20048;coluna B 20048;coluna C 20048
coluna A 5044;coluna B 5044;coluna C 5044
coluna A 20049;coluna B 20049;coluna C 20049
coluna A 35033;coluna B 35033;coluna C 35033
coluna A 20050;coluna B 20050;coluna C 20050
coluna A 40060;coluna B 40060;coluna C 40060
coluna A 20051;coluna B 20051;coluna C 20051
coluna A 32;coluna B 32;coluna C 32
coluna A 20052;coluna B 20052;coluna C 20052
coluna A 15066;coluna B 15066;coluna C 15066
coluna A 25041;coluna B 25041;coluna C 25041
coluna A 20053;coluna B 20053;coluna C 20053
coluna A 10056;coluna B 10056;coluna C 10056
coluna A 20054;coluna B 20054;coluna C 20054
coluna A 45039;coluna B 45039;coluna C 45039
coluna A 20055;coluna B 20055;coluna C 20055
coluna A 30076;coluna B 30076;coluna C 30076
coluna A 20056;coluna B 20056;coluna C 20056
coluna A 5045;coluna B 5045;coluna C 5045
coluna A 20057;coluna B 20057;coluna C 20057
coluna A 35034;coluna B 35034;coluna C 35034
coluna A 20058;coluna B 20058;coluna C 20058
coluna A 40061;coluna B 40061;coluna C 40061
coluna A 20059;coluna B 20059;coluna C 20059
coluna A 33;coluna B 33;coluna C 33
coluna A 20060;coluna B 20060;coluna C 20060
coluna A 15067;coluna B 15067;coluna C 15067
coluna A 20061;coluna B 20061;coluna C 20061
coluna A 15068;coluna B 15068;coluna C 15068
coluna A 20062;coluna B 20062;coluna C 20062
coluna A 25042;coluna B 25042;coluna C 25042
coluna A 10057;coluna B 10057;coluna C 10057
coluna A 25043;coluna B 25043;coluna C 25043
coluna A 45040;coluna B 45040;coluna C 45040
coluna A 25044;coluna B 25044;coluna C 25044
coluna A 30077;coluna B 30077;coluna C 30077
coluna A 25045;coluna B 25045;coluna C 25045
coluna A 5046;coluna B 5046;coluna C 5046
coluna A 25046;coluna B 25046;coluna C 25046
coluna A 35035;coluna B 35035;coluna C 35035
coluna A 25047;coluna B 25047;coluna C 25047
coluna A 40062;coluna B 40062;coluna C 40062
coluna A 25048;coluna B 25048;coluna C 25048
coluna A 34;coluna B 34;coluna C 34
coluna A 25049;coluna B 25049;coluna C 25049
coluna A 15069;coluna B 15069;coluna C 15069
coluna A 25050;coluna B 25050;coluna C 25050
coluna A 20063;coluna B 20063;coluna C 20063
coluna A 25051;coluna B 25051;coluna C 25051
coluna A 10058;coluna B 10058;coluna C 10058
coluna A 25052;coluna B 25052;coluna C 25052
coluna A 45041;coluna B 45041;coluna C 45041
coluna A 25053;coluna B 25053;coluna C 25053
coluna A 30078;coluna B 30078;coluna C 30078
coluna A 25054;coluna B 25054;coluna C 25054
coluna A 5047;coluna B 5047;coluna C 5047
coluna A 25055;coluna B 25055;coluna C 25055
coluna A 35036;coluna B 35036;coluna C 35036
coluna A 25056;coluna B 25056;coluna C 25056
coluna A 40063;coluna B 40063;coluna C 40063
coluna A 25057;coluna B 25057;coluna C 25057
coluna A 35;coluna B 35;coluna C 35
coluna A 25058;coluna B 25058;coluna C 25058
coluna A 15070;coluna B 15070;coluna C 15070
coluna A 25059;coluna B 25059;coluna C 25059
coluna A 20064;coluna B 20064;coluna C 20064
coluna A 25060;coluna B 25060;coluna C 25060
coluna A 10059;coluna B 10059;coluna C 10059
coluna A 25061;coluna B 25061;coluna C 25061
coluna A 45042;coluna B 45042;coluna C 45042
coluna A 25062;coluna B 25062;coluna C 25062
coluna A 30079;coluna B 30079;coluna C 30079
coluna A 25063;coluna B 25063;coluna C 25063
coluna A 5048;coluna B 5048;coluna C 5048
coluna A 25064;coluna B 25064;coluna C 25064
coluna A 35037;coluna B 35037;coluna C 35037
coluna A 25065;coluna B 25065;coluna C 25065
coluna A 40064;coluna B 40064;coluna C 40064
coluna A 25066;coluna B 25066;coluna C 25066
coluna A 36;coluna B 36;coluna C 36
coluna A 25067;coluna B 25067;coluna C 25067
coluna A 15071;coluna B 15071;coluna C 15071
coluna A 25068;coluna B 25068;coluna C 25068
coluna A 20065;coluna B 20065;coluna C 20065
coluna A 25069;coluna B 25069;coluna C 25069
coluna A 10060;coluna B 10060;coluna C 10060
coluna A 25070;coluna B 25070;coluna C 25070
coluna A 45043;coluna B 45043;coluna C 45043
coluna A 25071;coluna B 25071;coluna C 25071
coluna A 30080;coluna B 30080;coluna C 30080
coluna A 25072;coluna B 25072;coluna C 25072
coluna A 5049;coluna B 5049;coluna C 5049
coluna A 25073;coluna B 25073;coluna C 25073
coluna A 35038;coluna B 35038;coluna C 35038
coluna A 25074;coluna B 25074;coluna C 25074
coluna A 40065;coluna B 40065;coluna C 40065
coluna A 25075;coluna B 25075;coluna C 25075
coluna A 37;coluna B 37;coluna C 37
coluna A 25076;coluna B 25076;coluna C 25076
coluna A 15072;coluna B 15072;coluna C 15072
coluna A 25077;coluna B 25077;coluna C 25077
coluna A 20066;coluna B 20066;coluna C 20066
